PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Keita Bates-Diop,SAS,12.8228,1.5,3.0,0.3731,0.125,0.75,0.125,0.25,0.25,0.125,0.375,2.5,2.875,0.125,0.5,0.375,0.625,0.625,3.375,5.875,0.0,0.5,8
Kelan Martin,IND,9.2324,2.0,3.5,0.5415,1.5,2.0,0.8335,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,0.5,5.5,-8.0,0.0,1.0,2
Keldon Johnson,SAS,28.808,6.125,14.25,0.4114,0.375,2.625,0.15,2.375,3.75,0.5678,1.125,4.25,5.375,2.0,1.125,0.125,1.5,2.25,15.0,-6.375,1.0,0.5,8
Kelly Olynyk,DET,23.0852,4.4286,9.4286,0.4547,1.0,3.5714,0.2237,2.5714,3.8571,0.606,1.0,3.5714,4.5714,2.8571,1.4286,0.7143,1.5714,2.1429,12.4286,-1.7143,0.1429,0.4286,7
Kelly Oubre,CHO,28.6409,4.5556,11.5556,0.3434,2.3333,6.5556,0.282,1.4444,2.2222,0.4444,1.5556,3.0,4.5556,1.4444,0.8889,0.1111,0.5556,2.6667,12.8889,-1.2222,0.5556,0.4444,9
Kemba Walker,NYK,27.8443,4.75,10.375,0.4565,3.125,6.125,0.5136,1.0,1.375,0.3646,0.125,3.125,3.25,3.25,1.375,0.375,1.5,1.25,13.625,-4.0,1.0,0.5,8
Kendrick Nunn,LAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Kenrich Williams,OKC,20.7251,2.2857,5.8571,0.3893,0.8571,2.2857,0.381,0.4286,0.8571,0.2143,0.8571,2.2857,3.1429,1.2857,0.2857,0.2857,1.1429,1.8571,5.8571,-4.4286,0.0,0.4286,7
Kent Bazemore,LAL,27.884,2.625,6.25,0.4596,1.5,3.625,0.4395,0.625,1.0,0.2188,0.125,2.125,2.25,1.25,1.5,0.25,0.625,3.5,7.375,0.5,1.0,0.75,8
Kentavious Caldwell-Pope,WAS,31.6452,3.625,8.25,0.4395,1.75,4.75,0.3434,0.5,0.625,0.3334,0.5,3.5,4.0,1.625,0.875,0.375,1.0,2.125,9.5,-1.25,1.0,0.5,8
Kenyon Martin,HOU,11.479,2.4286,3.4286,0.3929,0.2857,0.7143,0.0953,0.2857,0.5714,0.1429,0.4286,2.0,2.4286,0.8571,0.2857,0.0,0.4286,0.7143,5.4286,2.5714,0.0,0.4286,7
Keon Johnson,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,3
Kessler Edwards,BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kevin Durant,BRK,34.4774,10.875,18.375,0.6033,1.625,4.375,0.4494,4.875,6.25,0.7761,0.5,8.125,8.625,5.25,0.875,0.875,3.125,1.5,28.25,1.0,1.0,0.75,8
Kevin Huerter,ATL,20.7789,2.7143,7.2857,0.3321,0.7143,3.1429,0.3096,0.2857,0.2857,0.1429,0.2857,2.4286,2.7143,2.2857,0.4286,0.2857,1.1429,1.1429,6.4286,2.2857,0.1429,0.2857,7
Kevin Knox,NYK,0.5581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,-0.875,0.0,0.5,8
Kevin Love,CLE,20.7124,3.1429,8.8571,0.3288,0.7143,3.4286,0.1784,2.8571,3.1429,0.8094,1.4286,5.8571,7.2857,2.2857,0.2857,0.1429,0.8571,0.8571,9.8571,1.1429,0.0,0.2857,7
Kevin Pangos,CLE,1.314,0.0,0.3333,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,-1.8333,0.0,0.5,6
Kevin Porter,HOU,31.1463,4.5714,11.4286,0.3914,2.0,6.0,0.3211,1.1429,2.0,0.3929,1.1429,3.1429,4.2857,5.4286,1.7143,0.4286,5.2857,3.1429,12.2857,-5.5714,1.0,0.4286,7
Kevon Looney,GSW,15.7417,2.5714,4.0,0.6691,0.0,0.0,0.0,1.1429,2.0,0.5357,1.8571,3.8571,5.7143,0.7143,0.4286,0.8571,0.8571,2.1429,6.2857,1.8571,1.0,0.5714,7
Khem Birch,TOR,23.1036,2.3333,4.5556,0.4867,0.0,0.4444,0.0,1.8889,2.3333,0.6536,3.1111,2.5556,5.6667,1.4444,0.8889,0.1111,0.8889,1.6667,6.5556,5.1111,0.0,0.5556,9
Khris Middleton,MIL,26.9723,6.2857,14.5714,0.3673,1.2857,5.0,0.2544,3.2857,3.8571,0.752,0.4286,3.5714,4.0,3.8571,1.7143,0.1429,3.0,1.8571,17.1429,-2.4286,0.8571,0.5714,7
Killian Hayes,DET,24.025,2.0,7.1429,0.251,0.8571,2.5714,0.2381,0.8571,0.8571,0.2857,0.5714,2.0,2.5714,3.0,1.4286,0.2857,2.0,2.4286,5.7143,-12.4286,1.0,0.4286,7
